"노선번호","노선ID"
"8-2","232000115"
"8-2","232000115"
"G6002","232000116"
"G6004","232000117"
"G6005","232000118"
"70","232000121"
"70","232000121"
"2000","232000122"
"70C","232000130"
"70C","232000130"
"70D","232000131"
"70D","232000131"
"김포똑버스01","232000132"
"6601","232000137"
"3000-1","232000138"
"6701","232000139"
"3-2","232000140"
"3-2","232000140"
"33-2","232000142"
"33","232000143"
"70(출근)","232000144"
"70(출근)","232000144"
"54","241275001"
"54","241275001"
"55","241275002"
"55","241275002"
"35","241275004"
"35","241275004"
"36","241275005"
"36","241275005"
"31","241351002"
"한강이음1","241351012"
"한강이음1-1","241351013"
"한강이음1-1","241351013"
"10","241351016"
"52","241460001"
"52A","241460002"
"52B","241460003"
"20","241460009"
"20A","241460010"
"20N","241460011"
"52N","241460012"
"17","241461001"
"16","241461002"
"16","241461002"
"15","241461003"
"17A","241461004"
"16-1","241461005"
"16-1","241461005"
"50","241461006"
"1","241461007"
"1A","241461008"
"51","241461009"
"52-1","241461011"
"19","241461012"
"1B","241461014"
"16A","241461015"
"1C","241461016"
"5","241463001"
"5","241463001"
"11A","241464002"
"11B","241464003"
"77-1(오전)","241466002"
"77-1(오후)","241466003"
"77-2","241466004"
"77A","241466005"
"77B","241466006"
"72A(조강2리)","241468001"
"72B(개곡2리)","241468002"
"공영쇄암A","241470001"
"공영쇄암B","241470002"
"공영학운","241470003"
"86","241470004"
"201","241470005"
"202","241470006"
"30","241470007"
"통진순환","241470008"
"순환N","241470009"
"23(국수메)","241471001"
"23(국수메)","241471001"
"23(석탄리)","241471002"
"23(중계소)","241471003"
"24(마곡리)","241471004"
"24(마조리)","241471005"
"24(양택리)","241471006"
"25(마조.석탄리)","241471007"
"25(마조.석탄리)","241471007"
"25(마조리)","241471008"
"25(석탄리)","241471009"
"22(새벽)","241472001"
"22(새벽)","241472001"
"22(오전)","241472002"
"22(오후)","241472003"
"1000","221000003"
"1000","221000003"
"707","222000002"
"202","222000004"
"71","222000006"
"155","222000008"
"9","222000009"
"23","222000013"
"7-7","222000016"
"6-1","222000017"
"7-4","222000019"
"6-2","222000020"
"55","222000023"
"97","222000027"
"165","222000028"
"6","222000029"
"65-1","222000030"
"65","222000031"
"1-4","222000032"
"30-15","222000033"
"땡큐34","222000034"
"땡큐37","222000040"
"땡큐21","222000041"
"112-1","222000045"
"1670","222000046"
"168","222000047"
"168","222000047"
"166-1","222000048"
"1660","222000049"
"7","222000055"
"167-1","222000056"
"1","222000058"
"1","222000058"
"땡큐36","222000061"
"땡큐24","222000063"
"땡큐23","222000064"
"1700","222000073"
"1100","222000074"
"2000","222000075"
"2000","222000075"
"7007","222000076"
"1200","222000078"
"8002","222000084"
"8002","222000084"
"8001","222000088"
"8012","222000090"
"7-8","222000096"
"5-1","222000098"
"M2316","222000105"
"1001","222000107"
"땡큐60","222000110"
"2000-1","222000122"
"땡큐35","222000131"
"땡큐35","222000131"
"1200-1","222000137"
"34","222000168"
"1003","222000169"
"21","222000170"
"38","222000176"
"105","222000177"
"8002-1","222000178"
"8002-1","222000178"
"M2341","222000179"
"땡큐12","222000180"
"76","222000181"
"81","222000182"
"105-1","222000186"
"땡큐33","222000187"
"땡큐33","222000187"
"땡큐70","222000190"
"땡큐70","222000190"
"땡큐10","222000191"
"1006","222000192"
"땡큐90","222000195"
"7-9","222000196"
"8-9","222000197"
"땡큐50","222000199"
"땡큐30","222000200"
"땡큐11","222000201"
"33-2","222000202"
"땡큐22","222000205"
"M2352","222000209"
"M2353","222000210"
"5-2","222000211"
"1670-1","222000213"
"1670-1","222000213"
"5-5","222000214"
"6-6","222000215"
"6-6","222000215"
"58","222000216"
"58","222000216"
"땡큐58-3","222000217"
"땡큐31","222000218"
"115","222000222"
"72","222000223"
"8-8A","222000224"
"8-8B","222000225"
"88-3","222000226"
"88-3","222000226"
"98","222000227"
"98-1","222000228"
"38-1","222000229"
"77","222000230"
"땡큐32","222000233"
"땡큐32","222000233"
"30","234000003"
"10-5","234000028"
"100","234000873"
"M2323","234001476"
"1000-1","234001511"
"11","236000050"
"80","241347002"
"82A","241347005"
"82B","241347006"
"땡큐20","241347007"
"땡큐20","241347007"
"48","241347009"
"48-1","241347010"
"86","241347011"
"2A","241348001"
"2-2A","241348002"
"2","241348004"
"2-2","241348005"
"땡큐61","241349001"
"땡큐61","241349001"
"60","241349004"
"63","241349006"
"64","241349007"
"33-1","241350002"
"33-1","241350002"
"땡큐85","241350003"
"땡큐85","241350003"
"85-1","241350004"
"땡큐99","241353001"
"땡큐99","241353001"
"99-1","241353002"
"99-1","241353002"
"99-2","241353003"
"99-2","241353003"
"99-1A","241353004"
"99-2A","241353005"
"99-2A","241353005"
"99-3","241353006"
"99-3","241353006"
"88","241354001"
"땡큐88-1","241354002"
"땡큐88-1","241354002"
"88-2","241354003"
"88-2","241354003"
"50","215000004"
"52","215000008"
"56","215000015"
"58-3","215000018"
"58-2","215000019"
"58","215000021"
"58-1","215000022"
"1","215000025"
"60","215000052"
"60-3","215000055"
"53","215000070"
